,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
19,19933,19322,19016,19343,19556,19415,19270,19252,19074,19299,19329,19237,19088,19003,19098,19076,19384,19341,19321,19110,19401,19343,19317,19321,19145,19039,19311,19227,19151,19356,19248,19046,19384,19495,19099,19256,19321,19138,19137,19306,19232,19226,19191,19263,19217,19245,19212,19072,19285,19083,18889,18577
20,19975,19284,19366,19382,19138,19439,19151,19157,19091,19407,19018,19085,19204,19156,19249,19529,19158,19472,19213,19371,19280,19174,19122,19374,19315,19043,19199,19320,19255,19426,19244,19214,19292,19337,19396,19368,19154,19269,19185,19063,19198,19300,19288,19019,19293,19265,19103,19135,18927,19067,18998,18532
21,19580,19341,19266,19213,19131,19452,19240,19075,19151,19295,18932,19238,19203,19288,19393,19133,19080,19127,19134,19199,19151,19396,19157,19280,19185,19345,19421,19287,19278,19076,19215,19161,19367,18949,19168,19129,19304,19284,19311,19335,19319,19410,19476,19202,19206,19216,19350,19305,19138,19222,19205,18681
22,19829,19546,19424,19124,19282,19143,19367,19552,19101,19107,19203,19392,19357,19282,19355,19129,19502,19294,19150,19042,19265,18902,19020,19024,19256,19480,19185,19240,19003,19252,19055,19142,19509,19320,19382,18961,18969,19118,19062,18931,19449,19399,19397,19389,19295,19028,19233,19248,19107,19164,19192,18842
23,19238,19322,19415,19176,19096,19268,19214,19286,19023,19136,19314,19378,19308,19138,19055,19146,18995,19374,19424,19211,18909,19321,19532,19265,19382,19059,19122,19511,18989,19209,19470,19299,19244,19253,19297,19193,19159,19181,19167,19350,19225,19351,19347,19251,19133,19208,19513,19289,19173,19143,19106,18832
24,19579,19593,19064,19228,19367,19198,19378,19180,19120,19170,19160,19176,19259,19038,19286,19059,19300,19148,19255,19378,19359,19379,19511,19279,19279,19103,18995,19274,19022,19285,19245,19293,19209,19170,19389,19137,19082,19218,19213,19181,19199,19263,19327,19156,19111,19421,19122,19243,19206,19185,19313,18895
25,19217,19351,19126,19264,19239,19233,19223,19180,19418,19065,19339,19336,19310,19494,18972,19542,19460,19277,18875,19101,19162,19190,19231,19487,19287,19070,19230,19155,19073,19271,19401,19054,19383,19465,19231,19008,19198,19217,19464,19168,19093,19235,19327,19390,18934,19023,19232,19228,19403,19362,19321,18685
26,19104,19445,19329,19373,19050,19157,19461,19257,19537,19352,19130,19274,19420,19144,19055,18996,19145,19124,19363,19093,19197,19477,19395,19022,19240,19001,19080,19096,19126,18894,19450,19194,19196,19386,19255,19136,18951,19474,19228,19399,19220,19305,19271,19033,19087,19284,19285,19258,19455,19303,19284,19209
27,19215,19330,19289,19216,19142,19131,18994,19229,19110,19175,19075,19256,19269,19166,19327,19422,19167,19112,19273,19319,19228,19167,19247,19472,19251,19352,19249,19240,19321,19233,19159,19342,19211,19232,19333,19296,19140,19089,19304,19012,19219,19088,19473,18974,19330,19142,19270,19238,19421,19377,19142,19231
28,18885,19030,19398,19186,19267,19137,19428,19611,19280,19324,19293,19234,19339,19092,19295,19368,19251,19307,19201,19028,19347,19373,19037,19028,19404,19161,19360,19154,19321,19403,19307,19336,19348,19015,19285,19435,19149,19040,19212,19360,18895,19253,19158,19054,19095,19242,19155,19336,19284,19376,19206,18917
29,18651,19216,19345,19296,19287,19020,18983,19076,19073,19131,19332,19203,19265,19247,19125,19175,19349,19138,19175,19489,19318,19361,19226,19261,19284,19201,19280,19097,19342,19320,19232,19372,19278,19101,19320,19284,19229,18984,19108,19093,19104,19173,19237,19284,19455,19276,19428,19250,19382,19285,19476,19383
30,18663,19406,19036,19361,19397,19072,19097,19108,19194,19052,19218,19213,19466,19116,19385,19223,19088,19360,19382,19503,19130,19060,19327,19272,19314,19260,19378,19185,19151,19047,19227,19259,18980,19274,19112,19324,19068,19115,19168,18929,19287,19463,19264,19505,19100,19093,19244,18933,19371,19773,19512,19535
31,18243,19349,19275,19280,19464,19219,19115,19421,18945,19140,19360,19087,19237,19334,19248,19324,19238,19033,19203,19201,19429,19286,19129,18888,19267,19546,19115,19233,19410,19134,19246,19328,19109,19016,19227,19330,19333,19294,19305,19186,19431,19149,19405,19130,19262,19186,19215,19224,19259,19323,19527,19362
32,18346,19235,19355,19222,19305,19342,19265,19149,19257,19180,19111,19058,19234,19453,19378,19329,19169,19156,19299,19021,18980,19067,19189,18809,19377,19151,19227,19084,19460,19260,19369,19168,19312,19201,19393,19329,19101,19246,19258,19229,19207,19112,19302,19322,19342,19066,19417,19538,19550,19215,19484,19371
33,18262,19337,19203,19348,19150,19153,19115,19253,19058,19269,19370,19196,18910,19401,19298,19151,19097,19278,19324,19128,19441,19324,19197,19521,19314,19505,19430,19329,19050,19113,19215,19306,19040,19278,18985,19315,19449,19478,19410,19204,19149,18796,19341,19065,19150,19161,19509,19246,19297,19409,19386,19286
34,17711,19125,19098,19334,19340,19147,19195,19055,19506,19550,19031,19073,19284,19216,19189,19466,19178,19482,19343,19258,19008,19206,19253,19259,19424,19007,19503,19119,19258,19341,19099,19461,19171,19397,19358,19328,19225,19180,19455,19206,19094,19431,19197,19141,19097,19082,19109,19172,19539,19264,19457,19578
35,17837,19272,19158,19157,19153,19356,19429,19123,19149,19243,19136,19161,19121,19233,19502,19282,19246,19365,19378,19297,19108,19151,19327,19391,19166,19229,19142,19301,19178,18961,19059,19183,19143,19342,19348,19132,19147,19087,19252,19234,19347,19420,19177,19074,19175,19599,19300,19289,19210,19413,19622,19895
36,17913,19426,19332,19072,19676,19348,19151,19464,19285,19056,19089,19245,19005,19297,19406,19122,19403,19325,19169,19117,19307,19072,19237,19259,19218,19252,19460,19246,19443,19189,18914,19168,18947,19065,19277,19348,19572,19295,19277,19133,19071,19335,19329,19439,19218,19188,19296,18945,19197,19351,19446,19605
37,17357,19357,18796,19137,19135,19182,19117,19187,19388,19308,19188,19217,19202,19521,19098,19147,19112,18974,19116,19179,19085,19437,19385,19231,19289,19142,19309,19231,19520,19348,19394,19306,19198,19088,19243,18962,19276,19242,19298,19399,19221,19387,19144,19045,19361,19319,19358,19536,19303,19361,19843,20021
38,17496,19198,19362,19464,19291,19145,19023,19121,19034,19130,19422,19219,19039,19286,19208,19275,19218,19274,19478,19216,19138,19147,19173,19208,19363,19082,19018,19296,19130,19317,19238,19216,19442,19236,19074,19295,19191,19368,19172,19350,19036,19247,19267,19275,19426,19305,19429,19158,19459,19411,19773,19861
39,17479,19338,19266,19100,19301,19428,19115,19265,19046,19076,19103,19319,19156,19167,19196,19185,18888,19392,19213,19254,19421,19319,18996,19656,19179,19359,19420,19108,19318,19152,19081,19290,19346,19109,18851,19279,19271,19117,19244,19204,19278,19297,19351,19202,19393,19391,19258,19107,19507,19443,19693,20073
40,17059,19417,19344,19284,18971,19274,19392,19114,19274,18907,19319,19306,19099,19326,19269,19118,19415,19152,19289,19137,19347,19126,19315,19360,19391,19329,19078,19380,19471,19189,19076,19298,19144,19198,19501,19123,19328,19181,19121,19235,19174,18942,19139,19255,19334,19161,19449,19440,19333,19368,19622,20126
